FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Aaron Gordon,Den,F,26.43,53,31.8,66.2,19.3,12.7,151,0.735,391,0.604,186,0.333,0.57,0.598,14.5,5.8,10.1,2.6,12.3,0.68,0.55,1.77,7.6,114.9,108.7
Aaron Henry,Phi,F,22.47,6,2.8,5.9,18.6,28.6,0,0,4,0.25,1,0,0.2,0.2,0.3,0.2,3.3,0,0,0,0.33,0.33,0,,
Aaron Holiday,Pho,G,25.38,3,13.2,27.6,18.5,23.5,0,0,7,0.714,6,0.667,0.846,0.846,7.3,2,8,2.7,30,0.33,0,1.33,10.3,133.5,100.1
Aaron Holiday,Was,G,25.38,41,16.2,33.7,18,14.5,35,0.8,147,0.524,67,0.343,0.521,0.547,6.1,1.6,5.5,1.9,17.4,0.59,0.22,0.95,6.5,104.7,107.1
Aaron Nesmith,Bos,G-F,22.34,41,10.8,22.5,17.4,13.7,19,0.842,54,0.611,89,0.236,0.451,0.479,3.5,1.7,8.4,0.3,4.2,0.29,0.1,0.59,4.5,90.4,97.3
Aaron Wiggins,Okc,G-F,23.13,34,22.4,46.7,13.8,11.1,51,0.706,106,0.594,88,0.307,0.534,0.561,7.1,3.4,7.6,1.1,7.6,0.71,0.24,0.79,5.3,110.5,104.7
Abdel Nader,Pho,F,28.4,14,10.4,21.6,15,21.8,10,0.6,21,0.381,14,0.286,0.4,0.431,2.4,1.9,9.9,0.5,5.9,0.57,0.29,0.79,5.1,78.7,93.2
Ade Murkey,Sac,G,20,1,1.5,3.1,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Admiral Schofield,Orl,F,24.89,24,11.3,23.5,13.4,15.5,7,0.714,27,0.667,41,0.341,0.574,0.584,3.5,2,9.6,0.7,8.8,0.13,0.17,0.54,6,106.4,104.7
Ahmad Caver,Ind,G,20,1,0.9,1.9,47.8,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,
Al Horford,Bos,C-F,35.71,51,28.3,58.9,15.8,9.6,79,0.835,232,0.565,202,0.307,0.516,0.548,10.1,7.5,14.2,3.4,17.6,0.57,1.31,0.98,9,119.5,101
Alec Burks,Nyk,G,30.58,58,26.6,55.4,18.2,8.8,191,0.822,242,0.372,257,0.385,0.478,0.544,10.9,4.4,8.8,2.7,15.3,1.09,0.29,0.97,7.6,115.5,103.4
Aleem Ford,Orl,F,20,5,14.7,30.6,14.1,16.7,0,0,5,0.8,15,0.133,0.35,0.35,2.8,3,10.9,0.4,3.8,0.2,0,0.8,4.1,67.3,106.3
Aleksej Pokusevski,Okc,C,20.15,42,16.6,34.5,18.8,16.2,16,0.563,136,0.478,110,0.273,0.447,0.452,5.5,4.3,13.3,1.2,11.3,0.55,0.6,1.17,7.4,88.8,103.3
Alex Caruso,Chi,G,27.97,28,27.7,57.7,14,16.1,59,0.814,95,0.505,87,0.345,0.511,0.563,8.4,3.9,7.7,3.9,18.2,1.93,0.39,1.43,7.3,115.2,104.1
Alex Len,Sac,C,28.68,33,16.9,35.1,16.9,18.6,56,0.643,136,0.559,19,0.316,0.548,0.573,6.2,4.6,14.8,1.2,10.6,0.36,0.76,1.24,7.7,108.6,100.1
Alfonzo McKinnie,Chi,F,29.42,17,12.1,25.3,15.2,9.8,8,0.25,34,0.441,27,0.333,0.467,0.457,3.5,1.9,8.9,0.3,3.2,0.12,0.18,0.41,4.2,95.5,104
Alize Johnson,Chi,F,25.83,16,7.5,15.7,12.4,23.5,7,0.571,21,0.571,2,0,0.522,0.537,1.8,2.3,16.6,0.5,8.6,0.19,0,0.5,6.8,112.7,101.4
Alize Johnson,Was,F,25.83,3,6.1,12.6,23,31.8,1,0,4,0.5,2,0,0.333,0.311,1.3,4,36,0,0,0,0,1,0,73.2,110.7
Alperen Sengun,Hou,C,19.57,50,18.7,39.1,22.2,20.7,159,0.698,255,0.533,65,0.277,0.509,0.56,8.7,4.8,14.1,2.5,20.8,0.78,0.94,2.04,10.1,106.5,102.5
Amir Coffey,Lac,G-F,24.67,48,22.2,46.3,14.6,7.9,79,0.886,121,0.57,171,0.38,0.57,0.617,8.4,3,7,1.6,10.5,0.52,0.21,0.58,6.2,123.3,108.1
Andre Drummond,Bro,C,28.53,3,21.8,45.3,23.7,14,11,0.364,26,0.462,0,0,0.462,0.454,9.3,12.3,30.5,2.3,15.9,1,0.67,1.67,11.8,101.6,89.9
Andre Drummond,Phi,C,28.53,49,18.4,38.4,17.6,22.4,82,0.512,236,0.542,2,0,0.538,0.544,6.1,8.8,26.5,2,16,1.16,0.92,1.61,10.3,111.2,90.9
