FULL NAME,TEAM,AGE,DATE OF BIRTH,HEIGHT,WEIGHT,TEAM,NATIONALITY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Aaron Gordon,DEN,26,8-Jun,80,235,Arizona,USA,2014,1,4,53,14.5,5.8,2.6,7,0.057,0.124,0.191,0.598,0.114
Aaron Henry,PHI,22,5-Jun,77,210,Michigan State,USA,Undrafted,Undrafted,Undrafted,6,0.3,0.2,0,-56,0,0.048,0.149,0.2,0
Aaron Holiday,PHX,25,Jun-00,72,185,UCLA,USA,2018,1,23,44,6.2,1.7,2,-4.9,0.014,0.086,0.177,0.563,0.192
Aaron Nesmith,BOS,22,5-Jun,77,215,Vanderbilt,USA,2020,1,14,41,3.5,1.7,0.3,2.2,0.026,0.119,0.166,0.479,0.045
Aaron Wiggins,OKC,23,4-Jun,76,190,Maryland,USA,2021,2,55,34,7.1,3.4,1.1,-4.2,0.036,0.103,0.134,0.561,0.073
Abdel Nader,PHX,28,5-Jun,77,225,Iowa State,Egypt,2016,2,58,14,2.4,1.9,0.5,-0.9,0.026,0.145,0.139,0.431,0.065
Ade Murkey,SAC,24,5-Jun,77,200,Denver,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,-33.3,0,0,0,0,0
Admiral Schofield,ORL,24,5-Jun,77,241,Tennessee,United Kingdom,2019,2,42,24,3.5,2,0.7,-6.6,0.032,0.134,0.134,0.584,0.089
Ahmad Caver,IND,25,2-Jun,74,174,Old Dominion,USA,2019,,,1,2,0,0,133.3,0,0,0.5,1,0
Al Horford,BOS,35,9-Jun,81,240,Florida,Dominican Republic,2007,1,3,51,10.1,7.5,3.4,5.9,0.054,0.2,0.157,0.548,0.173
Alec Burks,NYK,30,6-Jun,78,214,Colorado,USA,2011,1,12,58,10.9,4.4,2.7,0.9,0.021,0.138,0.176,0.544,0.155
Aleem Ford,ORL,24,8-Jun,80,220,Wisconsin,USA,Undrafted,Undrafted,Undrafted,5,2.8,3,0.4,-22.1,0.028,0.16,0.148,0.35,0.043
Aleksej Pokusevski,OKC,20,Jul-00,84,190,None,Serbia,2020,1,17,42,5.5,4.3,1.2,-4.3,0.051,0.198,0.184,0.452,0.115
Alex Caruso,CHI,27,5-Jun,77,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,28,8.4,3.9,3.9,9.1,0.032,0.106,0.136,0.563,0.191
Alex Len,SAC,28,Jul-00,84,250,Maryland,Ukraine,2013,1,5,33,6.2,4.6,1.2,-7.3,0.077,0.182,0.163,0.573,0.106
Alfonzo McKinnie,CHI,29,7-Jun,79,215,Wisconsin-Green Bay,USA,Undrafted,Undrafted,Undrafted,17,3.5,1.9,0.3,-12.9,0.059,0.115,0.148,0.457,0.034
Alize Johnson,WAS,25,8-Jun,80,212,Missouri State,USA,2018,2,50,19,1.7,2.5,0.4,-20.2,0.142,0.213,0.134,0.492,0.09
Alperen Sengun,HOU,19,10-Jun,82,243,None,Turkey,2021,1,16,50,8.7,4.8,2.5,-11.5,0.083,0.171,0.213,0.56,0.211
Amir Coffey,LAC,24,7-Jun,79,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,48,8.4,3,1.6,0.1,0.021,0.103,0.143,0.617,0.103
Andre Drummond,BKN,28,10-Jun,82,279,Connecticut,USA,2012,1,9,52,6.3,9,2,1.6,0.146,0.327,0.172,0.535,0.156
Andre Iguodala,GSW,38,6-Jun,78,215,Arizona,USA,2004,1,9,26,4.1,3.3,3.8,10.6,0.036,0.116,0.109,0.491,0.263
Andrew Wiggins,GSW,26,7-Jun,79,197,Kansas,Canada,2014,1,1,54,17.7,4.2,2.1,8,0.032,0.093,0.224,0.579,0.108
Anfernee Simons,POR,22,3-Jun,75,181,None,USA,2018,1,24,53,17,2.7,3.9,-0.8,0.015,0.076,0.239,0.582,0.216
Anthony Davis,LAL,28,10-Jun,82,253,Kentucky,USA,2012,1,1,37,23.1,9.7,2.9,-2.4,0.076,0.186,0.261,0.582,0.14
Anthony Edwards,MIN,20,4-Jun,76,225,Georgia,USA,2020,1,1,53,21.9,4.8,3.6,5,0.024,0.111,0.268,0.553,0.162
